payment_id,sale_id,payment_date,payment_method,payment_status,amount
1,1,2025-11-24,Debit Card,Paid,117800.0
2,2,2025-03-13,Cash,Paid,55250.0
3,3,2025-01-17,UPI,Paid,144000.0
4,4,2025-10-15,Cash,Paid,9120.0
5,5,2025-08-18,Net Banking,Pending,2040.0
6,6,2025-06-24,Debit Card,Paid,126000.0
7,7,2025-02-17,Credit Card,Paid,175500.0
8,8,2025-01-23,Debit Card,Paid,1190.0
9,9,2025-02-10,Debit Card,Pending,2565.0
10,10,2025-12-27,Credit Card,Failed,0.0
11,11,2025-04-30,UPI,Paid,7920.0
12,12,2025-03-25,UPI,Paid,90000.0
13,13,2025-11-08,Cash,Pending,79800.0
14,14,2025-08-25,UPI,Paid,2160.0
15,15,2025-01-29,Wallet,Paid,194400.0
16,16,2025-02-03,UPI,Paid,26400.0
17,17,2025-07-22,UPI,Paid,3990.0
18,18,2025-05-07,Credit Card,Failed,0.0
19,19,2025-10-26,UPI,Paid,12000.0
20,20,2025-02-16,Cash,Paid,110200.0
21,21,2025-12-15,Cash,Pending,3060.0
22,22,2025-11-02,Cash,Paid,32500.0
23,23,2025-12-15,Debit Card,Paid,189000.0
24,24,2025-02-27,Net Banking,Paid,6400.0
25,25,2025-05-15,Credit Card,Paid,9000.0
26,26,2025-11-17,Wallet,Pending,34200.0
27,27,2025-03-20,Net Banking,Pending,9000.0
28,28,2025-11-03,UPI,Paid,2250.0
29,29,2025-06-07,Wallet,Paid,290000.0
30,30,2025-02-13,Cash,Pending,11875.0
31,31,2025-03-07,Net Banking,Failed,0.0
32,32,2025-09-28,Wallet,Failed,0.0
33,33,2025-06-09,Cash,Pending,21760.0
34,34,2025-03-03,Wallet,Pending,43500.0
35,35,2025-10-29,Debit Card,Paid,29000.0
36,36,2025-02-06,UPI,Pending,14400.0
37,37,2025-01-17,Credit Card,Failed,0.0
38,38,2025-12-09,UPI,Failed,0.0
39,39,2025-05-05,Wallet,Paid,15000.0
40,40,2025-12-04,Credit Card,Paid,96000.0
41,41,2025-01-28,Debit Card,Paid,4675.0
42,42,2025-06-23,Cash,Pending,35200.0
43,43,2025-03-13,Wallet,Paid,258400.0
44,44,2025-02-08,Cash,Paid,8500.0
45,45,2025-02-17,Debit Card,Pending,70400.0
46,46,2025-09-04,Credit Card,Paid,42500.0
47,47,2025-01-02,UPI,Pending,71400.0
48,48,2025-12-23,Debit Card,Failed,0.0
49,49,2025-06-01,Debit Card,Paid,290000.0
50,50,2025-06-10,Cash,Paid,220400.0
51,51,2025-01-30,Net Banking,Pending,72000.0
52,52,2025-12-12,UPI,Failed,0.0
53,53,2025-10-24,Debit Card,Failed,0.0
54,54,2025-12-03,Wallet,Paid,44550.0
55,55,2025-04-15,Credit Card,Failed,0.0
56,56,2025-07-22,Cash,Pending,24480.0
57,57,2025-02-07,Credit Card,Paid,7000.0
58,58,2025-02-07,Cash,Pending,105450.0
59,59,2025-06-28,Cash,Paid,62700.0
60,60,2025-08-13,UPI,Paid,12000.0
61,61,2025-12-08,Cash,Paid,8100.0
62,62,2025-03-01,UPI,Paid,3598.2
63,63,2025-05-25,Debit Card,Paid,66600.0
64,64,2025-09-16,Debit Card,Failed,0.0
65,65,2025-05-22,Wallet,Paid,117000.0
66,66,2025-03-24,UPI,Paid,12800.0
67,67,2025-02-27,Net Banking,Paid,26000.0
68,68,2025-07-09,Net Banking,Paid,32300.0
69,69,2025-01-22,Wallet,Paid,21375.0
70,70,2025-12-16,UPI,Paid,17340.0
71,71,2025-11-14,UPI,Paid,79800.0
72,72,2025-07-31,Cash,Pending,258400.0
73,73,2025-05-17,Net Banking,Paid,20800.0
74,74,2025-08-29,Wallet,Failed,0.0
75,75,2025-04-27,UPI,Paid,223200.0
76,76,2025-05-23,Debit Card,Paid,31875.0
77,77,2025-12-14,UPI,Paid,990.0
78,78,2025-04-02,Debit Card,Pending,23800.0
79,79,2025-06-26,Debit Card,Paid,9000.0
80,80,2025-07-17,Wallet,Paid,18700.0
81,81,2025-01-01,Credit Card,Failed,0.0
82,82,2025-02-05,UPI,Paid,3300.0
83,83,2025-06-03,Wallet,Failed,0.0
84,84,2025-12-23,Debit Card,Paid,14450.0
85,85,2025-12-07,Credit Card,Failed,0.0
86,86,2025-07-27,UPI,Failed,0.0
87,87,2025-08-09,UPI,Failed,0.0
88,88,2025-08-15,Cash,Pending,140600.0
89,89,2025-12-04,Debit Card,Pending,4050.0
90,90,2025-02-17,Wallet,Paid,41800.0
91,91,2025-03-17,Cash,Paid,216000.0
92,92,2025-08-22,Credit Card,Paid,12240.0
93,93,2025-09-11,Debit Card,Pending,22000.0
94,94,2025-08-06,UPI,Pending,272000.0
95,95,2025-10-13,Credit Card,Failed,0.0
96,96,2025-12-08,Cash,Pending,20400.0
97,97,2025-11-10,UPI,Paid,7200.0
98,98,2025-03-23,Credit Card,Failed,0.0
99,99,2025-11-23,Wallet,Paid,47500.0
100,100,2025-05-21,Debit Card,Paid,100800.0
101,101,2025-06-21,Wallet,Paid,5320.0
102,102,2025-04-29,Wallet,Failed,0.0
103,103,2025-08-01,Wallet,Failed,0.0
104,104,2025-02-01,Debit Card,Paid,75000.0
105,105,2025-10-22,UPI,Paid,1890.0
106,106,2025-07-19,Net Banking,Paid,13300.0
107,107,2025-09-07,Net Banking,Paid,4800.0
108,108,2025-07-19,Net Banking,Pending,10880.0
109,109,2025-03-07,Debit Card,Paid,11200.0
110,110,2025-02-12,UPI,Pending,6080.0
111,111,2025-01-26,Wallet,Pending,3520.0
112,112,2025-06-17,Credit Card,Paid,4590.0
113,113,2025-05-10,Debit Card,Pending,3500.0
114,114,2025-06-29,Debit Card,Paid,5500.0
