sale_id,sale_date,customer_id,product_id,employee_id,quantity,discount,gross_sales,net_sales
1,2025-11-24,15,2,5,2,5,124000.0,117800.0
2,2025-03-13,95,7,9,1,15,65000.0,55250.0
3,2025-01-17,4,6,4,2,0,144000.0,144000.0
4,2025-10-15,26,46,9,4,5,9600.0,9120.0
5,2025-08-18,76,18,1,2,15,2400.0,2040.0
6,2025-06-24,36,10,4,3,0,126000.0,126000.0
7,2025-02-17,49,7,6,3,10,195000.0,175500.0
8,2025-01-23,94,30,9,1,15,1400.0,1190.0
9,2025-02-10,71,19,10,3,5,2700.0,2565.0
10,2025-12-27,9,3,4,3,0,162000.0,162000.0
11,2025-04-30,13,25,5,4,10,8800.0,7920.0
12,2025-03-25,48,23,4,3,0,90000.0,90000.0
13,2025-11-08,82,11,9,2,5,84000.0,79800.0
14,2025-08-25,49,18,9,2,10,2400.0,2160.0
15,2025-01-29,30,3,6,4,10,216000.0,194400.0
16,2025-02-03,28,37,6,2,20,33000.0,26400.0
17,2025-07-22,83,30,3,3,5,4200.0,3990.0
18,2025-05-07,96,36,9,3,15,25500.0,21675.0
19,2025-10-26,52,24,4,2,20,15000.0,12000.0
20,2025-02-16,97,4,2,2,5,116000.0,110200.0
21,2025-12-15,55,39,2,4,15,3600.0,3060.0
22,2025-11-02,60,34,5,5,0,32500.0,32500.0
23,2025-12-15,93,8,9,3,10,210000.0,189000.0
24,2025-02-27,38,28,3,4,0,6400.0,6400.0
25,2025-05-15,65,49,3,5,0,9000.0,9000.0
26,2025-11-17,39,41,9,5,5,36000.0,34200.0
27,2025-03-20,48,49,3,5,0,9000.0,9000.0
28,2025-11-03,42,32,1,1,10,2500.0,2250.0
29,2025-06-07,31,4,4,5,0,290000.0,290000.0
30,2025-02-13,94,32,2,5,5,12500.0,11875.0
31,2025-03-07,85,31,9,2,10,1400.0,1260.0
32,2025-09-28,78,28,4,5,5,8000.0,7600.0
33,2025-06-09,52,43,6,4,20,27200.0,21760.0
34,2025-03-03,32,15,2,3,0,43500.0,43500.0
35,2025-10-29,71,15,10,2,0,29000.0,29000.0
36,2025-02-06,91,41,1,2,0,14400.0,14400.0
37,2025-01-17,43,5,9,2,10,112000.0,100800.0
38,2025-12-09,63,14,9,2,20,74000.0,59200.0
39,2025-05-05,61,27,4,1,0,15000.0,15000.0
40,2025-12-04,56,23,7,4,20,120000.0,96000.0
41,2025-01-28,87,42,2,1,15,5500.0,4675.0
42,2025-06-23,14,16,4,2,20,44000.0,35200.0
43,2025-03-13,55,12,5,4,5,272000.0,258400.0
44,2025-02-08,57,36,2,1,0,8500.0,8500.0
45,2025-02-17,97,16,3,4,20,88000.0,70400.0
46,2025-09-04,28,26,1,2,15,50000.0,42500.0
47,2025-01-02,50,17,8,3,15,84000.0,71400.0
48,2025-12-23,94,36,8,2,5,17000.0,16150.0
49,2025-06-01,28,4,10,5,0,290000.0,290000.0
50,2025-06-10,8,4,10,4,5,232000.0,220400.0
51,2025-01-30,66,6,3,1,0,72000.0,72000.0
52,2025-12-12,31,26,2,5,5,125000.0,118750.0
